"Name","Symbol","Exchange","Industry","Rating","MarketCap","EV","Revenue","GrossProfit","EBITDA","EBIT","NetIncome","Cash","PPnE","Assets","Debt","Equity","Receivables","Inventory","CurrentAssets","ShortTermDebt","LTD_Cap_Leases","Leases_LongTerm","LongTermDebt","Liabilities","Liabilities_N_Equity","Debt_Current","Debt_NonCurrent","Debt_Net","EBITDA_sd","Vol","EL","BL","LM","AP","AR","RoD","nEL","nBL","nLM","nAP","nAR","nRoD","RD","nRD"
"AECOM (NYSE:ACM)","NYSE:ACM","New York Stock Exchange (NYSE)","Industrials","BB",5636.16,8292.13,14115.17,616.56,731.7,610.895,55.959,865.69,590.38,11349.98,1938.57125,3239.01,4033.45,0,5700.79,14.6193,147.57,147.85,2563.3,9730.48,11349.98,162.182,2711.153,2007.63,173.740406609657,0.0209524460674949,0.346112670474319,0.241686888279517,3.78380705936864,0.778162907096624,1.39947975216704,0.311413269550019,0.237342938735951,0.172446314251973,2.5664141236548,0.852240133826156,1.29070859884615,0.58198865049635,0.311413269550019,0.58198865049635
"Aerojet Rocketdyne Holdings, Inc. (NYSE:AJRD)","NYSE:AJRD","New York Stock Exchange (NYSE)","Industrials","BB-",2162.62,2380.8,1738.5,276.61,194.07,164.605,68.31,574.744444444444,403.411111111111,2304.33333333333,348.255555555556,181.533333333333,279.177777777778,73.7111111111111,1034.47777777778,0,128.588888888889,30.4888888888889,496.844444444444,2213.56666666667,2304.33333333333,128.588888888889,527.333333333333,81.1777777777778,89.3875712215568,0.0375451828047534,0.302949443662265,0.293213914872208,4.47808770721356,1.03583921193332,1.0019652137063,0.320967976185193,0.0851412365434892,0.0504933206286382,1.64783354937907,1.41012238524036,0.784157006587523,-0.14951948103274,0.320967976185193,-0.14951948103274
"AGCO Corporation (NYSE:AGCO)","NYSE:AGCO","New York Stock Exchange (NYSE)","Industrials","BBB-",5642.26,7067.58,9275.05,2017.06,886.47,750.755,390.9,618.34,1500.17,7823.96,956.21,3220.13,910.39,1883.65,3812.32,41.31,169.16,42.88,1227.71,6213.895,7823.96,210.47,1270.59,862.72,236.504808736642,0.0334633366352616,0.213164290118878,0.189685726890213,1.78134896733651,0.899214639869177,1.13758469969599,0.61415555622068,0.126280402607332,0.120436794355705,1.10081449675546,0.977405255301453,1.05070081218445,1.50936015276669,0.61415555622068,1.50936015276669
"Air Products and Chemicals, Inc. (NYSE:APD)","NYSE:APD","New York Stock Exchange (NYSE)","Materials","A",39462.94,43035.45,9411.92,2794.72,2930.38,2421.32,1585.3,2412.52,9861.53,19655.01,3638.9075,9627.48,1541.75,509,4989.89,526.87,347.38,87.71,4694.09,14841.27,19655.01,874.25,4781.8,3243.53,469.134313390099,0.0109011132308387,0.139842201142463,0.286926467544507,1.95246499380738,2.16153856615131,0.47887239634347,0.563417732580343,0.0908832321456217,0.187090688830656,1.19882715699448,2.48205743121217,0.429913427346629,2.23618761652905,0.563417732580343,2.23618761652905
"Alaska Air Group, Inc. (NYSE:ALK)","NYSE:ALK","New York Stock Exchange (NYSE)","Industrials","BB",6968.17,7616.67,6184.1,1680.7,936.9,759.1,422.7,1755.2,5403,9654.7,1325.35,2925,311.1,58.2,2275.3,0,424.3,398.6,1529.3,8192.2,9654.7,424.3,1927.9,597,1012.01124829058,0.132867939439491,0.312500654489468,0.222232856106339,1.66312472403296,0.842952465546909,1.32810614848009,0.786527954251371,0.064425594051147,0.0416372963704428,0.320188870244973,1.03748290018667,1.08003108804177,-0.837727371684021,0.786527954251371,-0.837727371684021
"Albemarle Corporation (NYSE:ALB)","NYSE:ALB","New York Stock Exchange (NYSE)","Materials","BBB",10932.48,12802.61,2999.81,1027.63,771.08,680.765,375.69,941.99,3067.98,7662.28,1549.203,3445.19,493.54,573.77,2229.2,0,385.92,55.44,1947.97,5939.685,7662.28,385.914,2003.418,1418.14,170.164161261347,0.0132913649061674,0.19566088530923,0.312718044966319,3.22124743892048,1.66681115356587,0.63283446150488,0.403970066152243,0.107208575472793,0.183501739482731,1.77106727480451,2.03439402900462,0.546986549999171,1.8722503861972,0.403970066152243,1.8722503861972
"Alcoa Corporation (NYSE:AA)","NYSE:AA","New York Stock Exchange (NYSE)","Materials","BB+",5917.51666666667,8420.68333333333,11090.1428571429,2341.71428571429,1935.28571428571,1580.35714285714,-194.142857142857,1055.875,8805.625,16241.125,838.90625,7981.875,617.125,1512.875,3788.25,19,30.625,30.75,1390.125,12250.1875,16241.125,49.625,1420.875,414.625,819.398095003423,0.0973077911337468,0.243177811660652,0.0939599779081316,0.95722342261552,0.531302346768546,2.01421254909338,1.8250713664578,0.0890976651790384,0.0294641875731248,0.309650997281964,0.581669447065894,1.86013240261177,13.6295836139676,1.8250713664578,13.6295836139676
"Allegheny Technologies Incorporated (NYSE:ATI)","NYSE:ATI","New York Stock Exchange (NYSE)","Materials","B",2773.25,4243.06,3674.57,385.23,267.77,190.33,-195.7,432.83,2424.14,5528.16,1112.0425,1944.79,522.3,1222.6,2241.57,0,76.07,9.84,1541.09,4555.765,5528.16,76.07,1550.93,1194.17,189.719998652986,0.0447130134037665,0.399970982659441,0.303156179637253,4.9194489535623,0.781173211795289,1.36637775184632,0.169174364804304,0.296243118144616,0.241670960411812,3.1056276622346,0.859056614823343,1.2626498873315,0.235005047350476,0.169174364804304,0.235005047350476
"Allegion plc (NYSE:ALLE)","NYSE:ALLE","New York Stock Exchange (NYSE)","Industrials","BBB",8173.22222222222,9417.13333333333,2436.59,1044.12,522.43,495.795,276.41,333.11,275.3,2495.05,897.3525,491.07,284.72,240.14,965.15,0,40.41,18.52,1250.28,2249.515,2495.05,40.41,1268.8,970.99,101.684643765801,0.0107978341355615,0.160270395721596,0.523029008412357,2.50078029101491,3.67075535487685,0.275008853688113,8.35040405212828,0.12393990097089,0.443581351841503,1.8482423757296,4.22961412095872,0.239214758234242,0.31289863853653,8.35040405212828,0.31289863853653
"ALLETE, Inc. (NYSE:ALE)","NYSE:ALE","New York Stock Exchange (NYSE)","Utilities","BBB",3093.42,4662.18,1283.27,413.5,361.52,276.68,154.02,77.51,3773.14,4910.98,1113.31,2017.66,114.13,85.82,318.2,0.53,120.58,4.99,1384.15,3902.15,4910.98,121.11,1389.14,1432.74,54.6789986090536,0.0117282041038857,0.328884175217036,0.308526350250291,4.17066560373763,0.945713857303484,1.06464847670923,0.242198251804694,0.310204825587485,0.296439095622279,3.9450321583231,0.961903069026509,1.04596912707968,0.256859251967241,0.242198251804694,0.256859251967241
